key_id,match_id,tournament_name,tournament_id,stage,match_date,match_name,stadium_name,home_team_name,away_team_name,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,total_goals,home_1ht_score,home_2ht_score,away_1ht_score,away_2ht_score,extra_time,home_team_et_score,away_team_et_score,home_1et_score,home_2et_score,away_1et_score,away_2et_score,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,note
1,EYFC-2019-01,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 7, 2019",Amolaso Boys vs Comprehensive Academy,Muda Lawal Stadium,Amolaso Boys,Comprehensive Academy,0-3,0,3,-3,3,3,0,0,0,3,no,,,,,,,,,,,,walkover
2,EYFC-2019-02,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 7, 2019",Ita Ika Boys vs Eleven Captain,Muda Lawal Stadium,Ita Ika Boys,Eleven Captain,1-2,1,2,-1,1,3,0,1,2,0,,,,,,,,,,,,,
3,EYFC-2019-03,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 7, 2019",Oluwo Santos vs United Boys,Muda Lawal Stadium,Oluwo Santos,United Boys,0-3,0,3,-3,3,3,0,0,0,3,,,,,,,,,,,,,
4,EYFC-2019-04,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 8, 2019",Winners vs Achievers,Muda Lawal Stadium,Winners,Achievers,2-2,2,2,0,0,4,2,0,0,2,,,,,,,,,,,,,
5,EYFC-2019-05,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 8, 2019",TACN vs Patriots,Muda Lawal Stadium,TACN,Patriots,0-2,0,2,-2,2,2,0,0,0,2,,,,,,,,,,,,,
6,EYFC-2019-06,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 8, 2019",Samba Boys vs Mawuko Golden Stars,Muda Lawal Stadium,Samba Boys,Mawuko Golden Stars,3-0,3,0,3,-3,3,3,0,0,0,,,,,,,,,,,,,
7,EYFC-2019-07,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 9, 2019",Abule Otun Academy vs Ajegunle All Stars,Muda Lawal Stadium,Abule Otun Academy,Ajegunle All Stars,0-1,0,1,-1,1,1,0,0,0,1,,,,,,,,,,,,,
8,EYFC-2019-08,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 9, 2019",Idera United vs Young Stars,Muda Lawal Stadium,Idera United,Young Stars,0-1,0,1,-1,1,1,0,0,1,0,,,,,,,,,,,,,
9,EYFC-2019-09,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 9, 2019",Shalom United vs NIS Reformation,Muda Lawal Stadium,Shalom United,NIS Reformation,0-4,0,4,-4,4,4,0,0,2,2,,,,,,,,,,,,,
10,EYFC-2019-10,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 14, 2019",Infinity Boys vs Mighty Stars,Muda Lawal Stadium,Infinity Boys,Mighty Stars,0-0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
11,EYFC-2019-11,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 14, 2019",Unique Stars vs Mighty Jets,Muda Lawal Stadium,Unique Stars,Mighty Jets,0-3,0,3,-3,3,3,0,0,3,0,,,,,,,,,,,,,
12,EYFC-2019-12,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 14, 2019",Eleven Captain vs TACN,Muda Lawal Stadium,Eleven Captain,TACN,1-0,1,0,1,-1,1,0,1,0,0,,,,,,,,,,,,,
13,EYFC-2019-13,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 15, 2019",United Boys vs Amolaso Boys,Muda Lawal Stadium,United Boys,Amolaso Boys,1-2,1,2,-1,1,3,1,0,2,0,,,,,,,,,,,,,
14,EYFC-2019-14,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 15, 2019",Patriots vs Ita Ika Boys,Muda Lawal Stadium,Patriots,Ita Ika Boys,0-1,0,1,-1,1,1,0,0,1,0,,,,,,,,,,,,,
15,EYFC-2019-15,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 15, 2019",Comprehensive Academy vs Oluwo Santos,Muda Lawal Stadium,Comprehensive Academy,Oluwo Santos,0-3,0,3,-3,3,3,0,0,0,3,,,,,,,,,,,,,
16,EYFC-2019-16,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 16, 2019",Achievers vs Mawuko Golden Stars,Muda Lawal Stadium,Achievers,Mawuko Golden Stars,5-0,5,0,5,-5,5,2,3,0,0,,,,,,,,,,,,,
17,EYFC-2019-17,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 16, 2019",NIS Reformation vs Abule Otun Academy,Muda Lawal Stadium,NIS Reformation,Abule Otun Academy,0-0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
18,EYFC-2019-18,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 16, 2019",Samba Boys vs Winners,Muda Lawal Stadium,Samba Boys,Winners,3-2,3,2,1,-1,5,1,2,1,1,,,,,,,,,,,,,
19,EYFC-2019-19,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 21, 2019",Mighty Jets vs Idera United,Muda Lawal Stadium,Mighty Jets,Idera United,1-1,1,1,0,0,2,0,1,0,1,,,,,,,,,,,,,
20,EYFC-2019-20,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 21, 2019",Ajegunle All Stars vs Shalom United,Muda Lawal Stadium,Ajegunle All Stars,Shalom United,1-0,1,0,1,-1,1,0,1,0,0,,,,,,,,,,,,,
21,EYFC-2019-21,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 21, 2019",Young Stars vs Unique Stars,Muda Lawal Stadium,Young Stars,Unique Stars,2-2,2,2,0,0,4,1,1,1,1,,,,,,,,,,,,,
22,EYFC-2019-22,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 22, 2019",United Boys vs Comprehensive Academy,Muda Lawal Stadium,United Boys,Comprehensive Academy,2-1,2,1,1,-1,3,1,1,0,1,,,,,,,,,,,,,
23,EYFC-2019-23,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 22, 2019",Nawair Ur Deen vs Infinity Boys,Muda Lawal Stadium,Nawair Ur Deen,Infinity Boys,1-3,1,3,-2,2,4,1,0,1,2,,,,,,,,,,,,,
24,EYFC-2019-24,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 22, 2019",Patriots vs Eleven Captain,Muda Lawal Stadium,Patriots,Eleven Captain,0-1,0,1,-1,1,1,0,0,1,0,,,,,,,,,,,,,
25,EYFC-2019-25,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 23, 2019",Samba Boys vs Achievers,Muda Lawal Stadium,Samba Boys,Achievers,0-1,0,1,-1,1,1,0,0,0,1,,,,,,,,,,,,,
26,EYFC-2019-26,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 23, 2019",Amolaso Boys vs Oluwo Santos,Muda Lawal Stadium,Amolaso Boys,Oluwo Santos,3-0,3,0,3,-3,3,1,2,0,0,,,,,,,,,,,,,
27,EYFC-2019-27,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Sunday, June 23, 2019",Ita Ika Boys vs TACN,Muda Lawal Stadium,Ita Ika Boys,TACN,3-0,3,0,3,-3,3,1,2,0,0,,,,,,,,,,,,,
28,EYFC-2019-28,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 28, 2019",Winners vs Mawuko Golden Stars,Muda Lawal Stadium,Winners,Mawuko Golden Stars,3-0,3,0,3,-3,3,0,3,0,0,,,,,,,,,,,,,
29,EYFC-2019-29,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 28, 2019",Shalom United vs Abule Otun Academy,Muda Lawal Stadium,Shalom United,Abule Otun Academy,0-2,0,2,-2,2,2,0,0,1,1,,,,,,,,,,,,,
30,EYFC-2019-30,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Friday, June 28, 2019",NIS Reformation vs Ajegunle All Stars,Muda Lawal Stadium,NIS Reformation,Ajegunle All Stars,1-2,1,2,-1,1,3,1,0,2,0,,,,,,,,,,,,,
31,EYFC-2019-31,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 29, 2019",Idera United vs Unique Stars,Muda Lawal Stadium,Idera United,Unique Stars,0-2,0,2,-2,2,2,0,0,2,0,,,,,,,,,,,,,
32,EYFC-2019-32,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 29, 2019",Young Stars vs Mighty Jets,Muda Lawal Stadium,Young Stars,Mighty Jets,1-2,1,2,-1,1,3,1,0,2,0,,,,,,,,,,,,,
33,EYFC-2019-33,2019 Egba Youth Football Championship,EYFC-2019,group stage,"Saturday, June 29, 2019",Mighty Stars vs Nawair Ur Deen,Muda Lawal Stadium,Mighty Stars,Nawair Ur Deen,1-0,1,0,1,-1,1,0,1,0,0,,,,,,,,,,,,,
34,EYFC-2019-34,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Friday, July 5, 2019",Eleven Captain vs Abule Otun Academy,Muda Lawal Stadium,Eleven Captain,Abule Otun Academy,2-1,2,1,1,-1,3,1,1,0,1,,,,,,,,,,,,,
35,EYFC-2019-35,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Friday, July 5, 2019",United Boys vs Samba Boys,Muda Lawal Stadium,United Boys,Samba Boys,0-1,0,1,-1,1,1,0,0,1,0,,,,,,,,,,,,,
36,EYFC-2019-36,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Friday, July 5, 2019",Comprehensive Academy vs Winners,Muda Lawal Stadium,Comprehensive Academy,Winners,1-0,1,0,1,-1,1,1,0,0,0,,,,,,,,,,,,,
37,EYFC-2019-37,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Friday, July 5, 2019",Achievers vs Amolaso Boys,Muda Lawal Stadium,Achievers,Amolaso Boys,2-1,2,1,1,-1,3,2,0,0,1,,,,,,,,,,,,,
38,EYFC-2019-38,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Saturday, July 6, 2019",Ajegunle All Stars vs Unique Stars,Muda Lawal Stadium,Ajegunle All Stars,Unique Stars,2-2,2,2,0,0,4,1,1,1,1,no,,,,,,,yes,4-3,4,3,,
39,EYFC-2019-39,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Saturday, July 6, 2019",Ita Ika Boys vs Mighty Stars,Muda Lawal Stadium,Ita Ika Boys,Mighty Stars,1-0,1,0,1,-1,1,1,0,0,0,,,,,,,,,,,,,
40,EYFC-2019-40,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Saturday, July 6, 2019",Mighty Jets vs NIS Reformation,Muda Lawal Stadium,Mighty Jets,NIS Reformation,0-3,0,3,-3,3,3,0,0,2,1,,,,,,,,,,,,,
41,EYFC-2019-41,2019 Egba Youth Football Championship,EYFC-2019,round of 16,"Saturday, July 6, 2019",Infinity Boys vs Young Stars,Muda Lawal Stadium,Infinity Boys,Young Stars,4-0,4,0,4,-4,4,2,2,0,0,,,,,,,,,,,,,
42,EYFC-2019-42,2019 Egba Youth Football Championship,EYFC-2019,quarter-final,"Saturday, July 13, 2019",Samba Boys vs Ajegunle All Stars,Muda Lawal Stadium,Samba Boys,Ajegunle All Stars,0-1,0,1,-1,1,1,0,0,0,1,,,,,,,,,,,,,
43,EYFC-2019-43,2019 Egba Youth Football Championship,EYFC-2019,quarter-final,"Saturday, July 13, 2019",Eleven Captain vs Infinity Boys,Muda Lawal Stadium,Eleven Captain,Infinity Boys,1-0,1,0,1,-1,1,0,1,0,0,,,,,,,,,,,,,
44,EYFC-2019-44,2019 Egba Youth Football Championship,EYFC-2019,quarter-final,"Saturday, July 13, 2019",NIS Reformation vs Achievers,Muda Lawal Stadium,NIS Reformation,Achievers,0-0,0,0,0,0,0,0,0,0,0,no,,,,,,,yes,3-1,3,1,,
45,EYFC-2019-45,2019 Egba Youth Football Championship,EYFC-2019,quarter-final,"Saturday, July 13, 2019",Ita Ika Boys vs Comprehensive Academy,Muda Lawal Stadium,Ita Ika Boys,Comprehensive Academy,0-0,0,0,0,0,0,0,0,0,0,no,,,,,,,yes,5-6,5,6,,
46,EYFC-2019-46,2019 Egba Youth Football Championship,EYFC-2019,semi-final,"Sunday, July 21, 2019",Eleven Captain vs Ajegunle All Stars,Muda Lawal Stadium,Eleven Captain,Ajegunle All Stars,2-0,2,0,2,-2,2,2,0,0,0,,,,,,,,,,,,,
47,EYFC-2019-47,2019 Egba Youth Football Championship,EYFC-2019,semi-final,"Sunday, July 21, 2019",Comprehensive Academy vs NIS Reformation,Muda Lawal Stadium,Comprehensive Academy,NIS Reformation,0-1,0,1,-1,1,1,0,0,0,1,,,,,,,,,,,,,
48,EYFC-2019-48,2019 Egba Youth Football Championship,EYFC-2019,third-place,"Sunday, July 28, 2019",Ajegunle All Stars vs Comprehensive Academy,Muda Lawal Stadium,Ajegunle All Stars,Comprehensive Academy,0-1,0,1,-1,1,1,0,0,0,1,,,,,,,,,,,,,
49,EYFC-2019-49,2019 Egba Youth Football Championship,EYFC-2019,final,"Sunday, July 28, 2019",NIS Reformation vs Eleven Captain,Muda Lawal Stadium,NIS Reformation,Eleven Captain,3-1,3,1,2,-2,4,3,0,1,0,,,,,,,,,,,,,
50,EYFC-2020-01,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Friday, March 6, 2020",Gadmaj vs FMCA United,Muda Lawal Stadium,Gadmaj,FMCA United,3-1,3,1,2,-2,4,1,2,1,0,,,,,,,,,,,,,
51,EYFC-2020-02,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Friday, March 6, 2020",Mighty Jets vs Surveyors,Muda Lawal Stadium,Mighty Jets,Surveyors,0-1,0,1,-1,1,1,0,0,1,0,,,,,,,,,,,,,
52,EYFC-2020-03,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Friday, March 6, 2020",TACN vs Egba Anglican Diocese,Muda Lawal Stadium,TACN,Egba Anglican Diocese,0-0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
53,EYFC-2020-04,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Friday, March 6, 2020",Eri Football Academy vs Samba Boys,Muda Lawal Stadium,Eri Football Academy,Samba Boys,2-0,2,0,2,-2,2,0,2,0,0,,,,,,,,,,,,,
54,EYFC-2020-05,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 7, 2020",Midas Touch vs O Se Olorun,Muda Lawal Stadium,Midas Touch,O Se Olorun,2-1,2,1,1,-1,3,1,1,1,0,,,,,,,,,,,,,
55,EYFC-2020-06,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 7, 2020",Ajegunle All Stars vs AR United,Muda Lawal Stadium,Ajegunle All Stars,AR United,0-0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
56,EYFC-2020-07,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 7, 2020",Young Stars vs Dream Team,Muda Lawal Stadium,Young Stars,Dream Team,1-4,1,4,-3,3,5,0,1,0,4,,,,,,,,,,,,,
57,EYFC-2020-08,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 7, 2020",Winners vs Eddy Aina Boys,Muda Lawal Stadium,Winners,Eddy Aina Boys,0-0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
58,EYFC-2020-09,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 8, 2020",Oloyede vs Favour,Muda Lawal Stadium,Oloyede,Favour,1-1,1,1,0,0,2,0,1,0,1,,,,,,,,,,,,,
59,EYFC-2020-10,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 8, 2020",Ogun NYSC vs Jimalok,Muda Lawal Stadium,Ogun NYSC,Jimalok,2-1,2,1,1,-1,3,1,1,0,1,,,,,,,,,,,,,
60,EYFC-2020-11,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 8, 2020",Allen-Taylor Football Academy vs Mighty Stars,Muda Lawal Stadium,Allen-Taylor Football Academy,Mighty Stars,1-0,1,0,1,-1,1,0,1,0,0,,,,,,,,,,,,,
61,EYFC-2020-12,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 8, 2020",Mabak vs Infinity Boys,Muda Lawal Stadium,Mabak,Infinity Boys,2-1,2,1,1,-1,3,2,0,1,0,,,,,,,,,,,,,
62,EYFC-2020-13,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Wednesday, March 11, 2020",O Se Olorun vs Young Stars,Muda Lawal Stadium,O Se Olorun,Young Stars,1-1,1,1,0,0,2,1,0,0,1,,,,,,,,,,,,,
63,EYFC-2020-14,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Wednesday, March 11, 2020",Egba Anglican Diocese vs Gadmaj,Muda Lawal Stadium,Egba Anglican Diocese,Gadmaj,2-1,2,1,1,-1,3,2,0,0,1,,,,,,,,,,,,,
64,EYFC-2020-15,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Wednesday, March 11, 2020",Jimalok vs Mabak,Muda Lawal Stadium,Jimalok,Mabak,0-5,0,5,-5,5,5,0,0,4,1,,,,,,,,,,,,,
65,EYFC-2020-16,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Wednesday, March 11, 2020",Dream Team vs Midas Touch,Muda Lawal Stadium,Dream Team,Midas Touch,2-1,2,1,1,-1,3,2,0,1,0,,,,,,,,,,,,,
66,EYFC-2020-17,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 14, 2020",FMCA United vs TACN,Muda Lawal Stadium,FMCA United,TACN,3-1,3,1,2,-2,4,0,3,0,1,,,,,,,,,,,,,
67,EYFC-2020-18,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 14, 2020",Favour vs Winners,Muda Lawal Stadium,Favour,Winners,2-2,2,2,0,0,4,0,2,0,2,,,,,,,,,,,,,
68,EYFC-2020-19,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 14, 2020",Eddy Aina Boys vs Oloyede,Muda Lawal Stadium,Eddy Aina Boys,Oloyede,0-1,0,1,-1,1,1,0,0,0,1,,,,,,,,,,,,,
69,EYFC-2020-20,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Saturday, March 14, 2020",Mighty Stars vs Ajegunle All Stars,Muda Lawal Stadium,Mighty Stars,Ajegunle All Stars,2-1,2,1,1,-1,3,0,2,0,1,,,,,,,,,,,,,
70,EYFC-2020-21,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 15, 2020",AR United vs Allen-Taylor Football Academy,Muda Lawal Stadium,AR United,Allen-Taylor Football Academy,1-2,1,2,-1,1,3,1,0,1,1,,,,,,,,,,,,,
71,EYFC-2020-22,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 15, 2020",Infinity Boys vs Ogun NYSC,Muda Lawal Stadium,Infinity Boys,Ogun NYSC,1-0,1,0,1,-1,1,1,0,0,0,,,,,,,,,,,,,
72,EYFC-2020-23,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 15, 2020",Samba Boys vs Mighty Jets,Muda Lawal Stadium,Samba Boys,Mighty Jets,1-1,1,1,0,0,2,1,0,0,1,,,,,,,,,,,,,
73,EYFC-2020-24,2020 Egba Youth Football Championship,EYFC-2020,group stage,"Sunday, March 15, 2020",Surveyors vs Eri Football Academy,Muda Lawal Stadium,Surveyors,Eri Football Academy,0-0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
74,EYFC-2021-01,2021 Egba Youth Football Championship,EYFC-2021,group stage,"Friday, March 5, 2021",Powerline vs Idera United,Muda Lawal Stadium,Powerline,Idera United,4-0,4,0,4,-4,4,3,1,0,0,,,,,,,,,,,,,
75,EYFC-2021-02,2021 Egba Youth Football Championship,EYFC-2021,group stage,"Friday, March 5, 2021",Trace vs Sacred Heart Hospital,Muda Lawal Stadium,Trace,Sacred Heart Hospital,0-1,0,1,-1,1,1,0,0,0,1,,,,,,,,,,,,,
76,EYFC-2021-03,2021 Egba Youth Football Championship,EYFC-2021,group stage,"Friday, March 5, 2021",Dream Team vs AS Success,Muda Lawal Stadium,Dream Team,AS Success,0-2,0,2,-2,2,2,0,0,2,0,,,,,,,,,,,,,
